Dose	Viability
0.01	92.1
0.01	96.08
0.01	88.05
0.01	90.44
0.01	99.34
0.01	95.51
0.01	96.08
0.01	91.96
0.03	97.75
0.03	97.35
0.03	89.2
0.03	96.56
0.03	99.13
0.03	84.57
0.03	91.81
0.03	88.77
0.1	86.01
0.1	79.63
0.1	82.02
0.1	89.6
0.1	77.26
0.1	78.27
0.1	78.27
0.1	66.83
0.3	67.43
0.3	64.86
0.3	63.67
0.3	72.1
0.3	47.57
0.3	46.41
0.3	51.04
0.3	50.03
0.6	55.17
0.6	58.99
0.6	50.1
0.6	60.19
0.6	34.46
0.6	35.4
0.6	31.35
0.6	37.43
1	44.91
1	43.26
1	52.21
1	57.22
1	24.11
1	24.47
1	22.8
1	26.57
3	32.49
3	29.58
3	34.77
3	39.27
3	15.78
3	16.07
3	15.42
3	15.49
10	14.82
10	13.56
10	15.73
10	24.39
10	19.11
10	8.761
10	8.761
10	8.11
